,0,Cluster
1033,720575940610623186,7
1034,720575940610623950,27
1035,720575940610626162,13
1036,720575940610626802,6
1037,720575940610631378,7
1038,720575940610634666,6
1039,720575940610637786,3
1040,720575940610640482,13
1041,720575940610640810,9
1042,720575940610649294,0
1043,720575940610652002,4
1044,720575940610653462,14
1045,720575940610658674,0
1046,720575940610659045,15
1047,720575940610668152,22
1048,720575940610668697,20
1049,720575940610669042,13
1050,720575940610678226,2
1051,720575940610681011,12
1052,720575940610683342,10
1053,720575940610685538,0
1054,720575940610701530,9
1055,720575940610708430,3
1056,720575940610709106,1
1057,720575940610715346,1
1058,720575940610718131,19
1059,720575940610724466,14
1060,720575940610727630,4
1061,720575940610738898,6
1062,720575940610739406,12
1063,720575940610747315,9
1064,720575940610753230,2
1065,720575940610754162,14
1066,720575940610760306,11
1067,720575940610772337,1
1068,720575940610773782,1
1069,720575940610776818,6
1070,720575940610780786,14
1071,720575940610783125,1
1072,720575940610798946,21
1073,720575940610803891,19
1074,720575940610812133,4
1075,720575940610813538,6
1076,720575940610814072,5
1077,720575940610822314,4
1078,720575940610825130,10
1079,720575940610831058,6
1080,720575940610831509,6
1081,720575940610838169,21
1082,720575940610850965,4
1083,720575940610863310,13
1084,720575940610864338,0
1085,720575940610867683,3
1086,720575940610872418,1
1087,720575940610880580,9
1088,720575940610882709,4
1089,720575940610888562,0
1090,720575940610888910,4
1091,720575940610896338,0
1092,720575940610901989,9
1093,720575940610903409,8
1094,720575940610903961,10
1095,720575940610906538,12
1096,720575940610907619,8
1097,720575940610907890,15
1098,720575940610908053,2
1099,720575940610909809,13
1100,720575940610913177,9
1101,720575940610915026,3
1102,720575940610923618,0
1103,720575940610928338,26
1104,720575940610931058,15
1105,720575940610938902,8
1106,720575940610941462,6
1107,720575940610941906,11
1108,720575940610947221,13
1109,720575940610959589,19
1110,720575940610961506,1
1111,720575940610962069,8
1112,720575940610965014,9
1113,720575940610967506,1
1114,720575940610974577,4
1115,720575940610980118,17
1116,720575940610980245,7
1117,720575940610980374,5
1118,720575940610980850,1
1119,720575940610980932,1
1120,720575940610985434,13
1121,720575940610985586,6
1122,720575940610991513,1
1123,720575940610995410,2
1124,720575940610996849,6
1125,720575940611008409,18
1126,720575940611008718,12
1127,720575940611012721,17
1128,720575940611012962,12
1129,720575940611014570,11
1130,720575940611015958,8
1131,720575940611016910,2
1132,720575940611027246,0
1133,720575940611033514,8
1134,720575940611034586,6
1135,720575940611034926,4
1136,720575940611041649,8
1137,720575940611046885,1
1138,720575940611047446,27
1139,720575940611048154,0
1140,720575940611075763,9
1141,720575940611077093,13
1142,720575940611080922,8
1143,720575940611081586,9
1144,720575940611085425,22
1145,720575940611086322,2
1146,720575940611090244,20
1147,720575940611091012,1
1148,720575940611091268,7
1149,720575940611091524,7
1150,720575940611092036,0
1151,720575940611092849,3
1152,720575940611094478,8
1153,720575940611102437,4
1154,720575940611102577,4
1155,720575940611108676,2
1156,720575940611114262,17
1157,720575940611124246,21
1158,720575940611139733,25
1159,720575940611142323,11
1160,720575940611145714,7
1161,720575940611160755,3
1162,720575940611162083,0
1163,720575940611164634,11
1164,720575940611164770,11
1165,720575940611169242,3
1166,720575940611169394,28
1167,720575940611177701,9
1168,720575940611177946,9
1169,720575940611186126,8
1170,720575940611189038,9
1171,720575940611194994,7
1172,720575940611197658,11
1173,720575940611201433,11
1174,720575940611203733,17
1175,720575940611206514,4
1176,720575940611207922,6
1177,720575940611213810,0
1178,720575940611215513,9
1179,720575940611217650,7
1180,720575940611218841,5
1181,720575940611227029,3
1182,720575940611237594,22
1183,720575940611240419,8
1184,720575940611242137,9
1185,720575940611244530,18
1186,720575940611247085,17
1187,720575940611249635,16
1188,720575940611251442,0
1189,720575940611268266,2
1190,720575940611277810,20
1191,720575940611291249,19
1192,720575940611292330,12
1193,720575940611292622,0
1194,720575940611293554,6
1195,720575940611295146,9
1196,720575940611297649,21
1197,720575940611300323,16
1198,720575940611302883,5
1199,720575940611303139,20
1200,720575940611304627,21
1201,720575940611310894,1
1202,720575940611313578,2
1203,720575940611319665,6
1204,720575940611332325,14
1205,720575940611336726,1
1206,720575940611338866,27
1207,720575940611339566,2
1208,720575940611344078,11
1209,720575940611345331,21
1210,720575940611346917,6
1211,720575940611347123,9
1212,720575940611348373,6
1213,720575940611351514,0
1214,720575940611352014,1
1215,720575940611354597,2
1216,720575940611373262,11
1217,720575940611374810,0
1218,720575940611375001,12
1219,720575940611377521,2
1220,720575940611379186,8
1221,720575940611380849,0
1222,720575940611381221,20
1223,720575940611385806,6
1224,720575940611395314,9
1225,720575940611400434,6
1226,720575940611400470,2
1227,720575940611401938,0
1228,720575940611403226,10
1229,720575940611403730,9
1230,720575940611413733,21
1231,720575940611414514,0
1232,720575940611415770,0
1233,720575940611418574,11
1234,720575940611420634,26
1235,720575940611422486,6
1236,720575940611423402,18
1237,720575940611425429,15
1238,720575940611428977,0
1239,720575940611429422,1
1240,720575940611430513,1
1241,720575940611432306,4
1242,720575940611434419,17
1243,720575940611436913,2
1244,720575940611439066,6
